name	invertebrates	vertebrates	plants	fungi	algae	environment	unknown	bacteria	protozoa	human
Aspiviridae	0	0	1	0	0	0	0	0	0	0
Aumaivirus	0	0	1	0	0	0	0	0	0	0
Barnaviridae	0	0	0	1	0	0	0	0	0	0
Carmotetraviridae	1	0	0	0	0	0	0	0	0	0
Dinornavirus	0	0	0	0	1	0	0	0	0	0
Ourmiavirus	0	0	1	0	0	0	0	0	0	0
Papanivirus	0	0	1	0	0	0	0	0	0	0
Permutotetraviridae	1	0	0	0	0	0	0	0	0	0
Tilapinevirus	0	1	0	0	0	0	0	0	0	0
Virtovirus	0	0	1	0	0	0	0	0	0	0
Cilevirus	0	0	2	0	0	0	0	0	0	0
Deltavirus	0	1	0	0	0	0	0	0	0	1
Solemoviridae	0	0	2	0	0	0	0	0	0	0
Solinviviridae	2	0	0	0	0	0	0	0	0	0
Higrevirus	0	0	3	0	0	0	0	0	0	0
Blunervirus	0	0	4	0	0	0	0	0	0	0
unclassified_ssRNA_viruses	0	3	0	0	1	0	0	0	0	0
Alphatetraviridae	5	0	0	0	0	0	0	0	0	0
Luteoviridae	0	0	5	0	0	0	0	0	0	0
Idaeovirus	0	0	6	0	0	0	0	0	0	0
Fusariviridae	0	0	0	7	0	0	0	0	0	0
Hepeviridae	0	4	0	0	0	0	0	0	0	3
Sinaivirus	7	0	0	0	0	0	0	0	0	0
Benyviridae	0	0	11	0	0	0	0	0	0	0
Leviviridae	0	0	0	0	0	0	0	12	0	0
Bromoviridae	0	0	16	0	0	0	0	0	0	0
Nodaviridae	2	14	0	0	0	0	0	0	0	0
unclassified_ssRNA_negative_strand_viruses	18	0	0	3	0	0	0	0	0	0
unclassified_ssRNA_positive_strand_viruses	5	7	2	8	0	0	0	0	0	0
Caliciviridae	0	21	14	0	0	0	0	0	0	1
Narnaviridae	0	0	0	42	0	0	0	0	1	0
Astroviridae	2	45	0	0	0	0	0	0	0	2
Tymovirales	29	0	19	2	0	0	0	0	0	0
Closteroviridae	0	0	53	0	0	0	0	0	0	0
Togaviridae	22	22	2	0	0	0	0	0	0	11
Tombusviridae	0	0	71	0	0	0	0	0	0	0
Virgaviridae	0	0	75	0	0	0	0	0	0	0
Nidovirales	5	67	12	0	0	0	0	0	0	4
Arenaviridae	0	74	0	0	0	0	0	0	0	66
Potyviridae	0	0	155	0	0	0	0	0	0	0
Orthomyxoviridae	68	15	0	0	0	0	0	0	0	83
Flaviviridae	84	87	13	0	0	0	1	0	0	66
Mononegavirales	91	139	4	2	0	2	2	0	0	86
Picornavirales	72	124	116	0	6	8	0	0	0	11
Bunyavirales	278	243	117	0	0	0	0	0	0	237
