#name	group
NC_034535	Mononegavirales
NC_034448	Mononegavirales
NC_025350	Mononegavirales
NC_025391	Mononegavirales
NC_031236	Mononegavirales
NC_002617	Mononegavirales
NC_025377	Mononegavirales
NC_009640	Mononegavirales
NC_005084	Mononegavirales
NC_006428	Mononegavirales
NC_025394	Mononegavirales
NC_031278	Mononegavirales
NC_031691	Mononegavirales
NC_031083	Mononegavirales
NC_007803	Mononegavirales
NC_031305	Mononegavirales
NC_030871	unclassified__ssRNA__negative-strand__viruses
NC_012703	Mononegavirales
NC_028230	Mononegavirales
NC_017714	Mononegavirales
NC_000903	Mononegavirales
NC_028867	Mononegavirales
NC_028260	unclassified__ssRNA__negative-strand__viruses
NC_025363	Mononegavirales
NC_031283	Mononegavirales
NC_025360	Mononegavirales
NC_034546	Mononegavirales
NC_031216	Mononegavirales
NC_028244	Mononegavirales
NC_031301	Mononegavirales
NC_001552	Mononegavirales
NC_034545	Mononegavirales
NC_006579	Mononegavirales
NC_025386	Mononegavirales
NC_025399	Mononegavirales
NC_025371	Mononegavirales
NC_002728	Mononegavirales
NC_028241	Mononegavirales
NC_003461	Mononegavirales
NC_028234	Mononegavirales
NC_025405	Mononegavirales
NC_028239	Mononegavirales
NC_020803	Mononegavirales
NC_028235	Mononegavirales
NC_025362	Mononegavirales
NC_025376	Mononegavirales
NC_034968	Mononegavirales
NC_020810	Mononegavirales
NC_006432	Mononegavirales
NC_001921	Mononegavirales
NC_025348	Mononegavirales
NC_031232	Mononegavirales
NC_025403	Mononegavirales
NC_020809	Mononegavirales
NC_025410	Mononegavirales
NC_001906	Mononegavirales
NC_025402	Mononegavirales
NC_034530	Mononegavirales
NC_025349	Mononegavirales
NC_034508	Mononegavirales
NC_028236	Mononegavirales
NC_025406	Mononegavirales
NC_001796	Mononegavirales
NC_034533	Mononegavirales
NC_031958	Mononegavirales
NC_031988	Mononegavirales
NC_025355	Mononegavirales
NC_028255	Mononegavirales
NC_021928	Mononegavirales
NC_031955	Mononegavirales
NC_031215	Mononegavirales
NC_025397	Mononegavirales
NC_005036	Mononegavirales
NC_031079	Mononegavirales
NC_001542	Mononegavirales
NC_025374	Mononegavirales
NC_031268	Mononegavirales
NC_031282	Mononegavirales
NC_009527	Mononegavirales
NC_002199	Mononegavirales
NC_007454	Mononegavirales
NC_006296	Mononegavirales
NC_016144	Mononegavirales
NC_031270	Mononegavirales
NC_025392	Mononegavirales
NC_025390	Mononegavirales
NC_034451	Mononegavirales
NC_014373	Mononegavirales
NC_031273	Mononegavirales
NC_025353	Mononegavirales
NC_025253	Mononegavirales
NC_024778	Mononegavirales
NC_020806	Mononegavirales
NC_020808	Mononegavirales
NC_020807	Mononegavirales
NC_007020	Mononegavirales
NC_024376	Mononegavirales
NC_003243	Mononegavirales
NC_009489	Mononegavirales
NC_034544	Mononegavirales
NC_025373	Mononegavirales
NC_031302	unclassified__ssRNA__negative-strand__viruses
NC_025407	Mononegavirales
NC_022755	Mononegavirales
NC_011532	Mononegavirales
NC_024473	Mononegavirales
NC_034550	Mononegavirales
NC_014372	Mononegavirales
NC_034551	Mononegavirales
NC_031217	unclassified__ssRNA__negative-strand__viruses
NC_001615	Mononegavirales
NC_009609	Mononegavirales
NC_002161	Mononegavirales
NC_007642	Mononegavirales
NC_031303	Mononegavirales
NC_011639	Mononegavirales
NC_001560	Mononegavirales
NC_016136	Mononegavirales
NC_034536	Mononegavirales
NC_030231	Mononegavirales
NC_028231	Mononegavirales
NC_025387	Mononegavirales
NC_025384	Mononegavirales
